,Restaurant_Name,Restaurant_Category,Rating,price_for_2
0,Blue Water Grille,"Chinese, North Indian, Continental, Beverages, Seafood",4.1,₹600 FOR TWO
1,KFC,"American, Fast Food, Snacks",4.3,₹400 FOR TWO
2,Biryani By Kilo,"Biryani, Mughlai, Kebabs, North Indian, Hyderabadi, Lucknowi, Andhra, South Indi...",4.3,₹700 FOR TWO
3,Punjab Grill,"North Indian, Indian, Biryani, Punjabi, Kebabs, Mughlai, Desserts",4.0,₹900 FOR TWO
4,Bikanervala,"North Indian, Snacks, Chaat, Sweets",4.1,₹300 FOR TWO
5,Biryani Blues,"Biryani, Hyderabadi, Lucknowi, Kebabs, Desserts, Beverages",4.3,₹400 FOR TWO
6,Gulati (Pandara Road),"North Indian, Biryani, Mughlai, Hyderabadi, Kebabs, Desserts, Beverages",4.4,₹1000 FOR TWO
7,Saravana Bhavan,South Indian,4.2,₹550 FOR TWO
8,UBQ by Barbeque Nation,"North Indian, Mughlai, Seafood, Biryani, Desserts, Kebabs",4.0,₹300 FOR TWO
9,Great indian khichdi,"Indian, Home Food, Healthy Food, Snacks",4.1,₹200 FOR TWO
10,Taco Bell,Mexican,4.0,₹400 FOR TWO
11,Get-A-Whey Healthy Ice Creams,"Desserts, Ice Cream",4.4,₹250 FOR TWO
12,Daryaganj - By the inventors of Butter Chicken and Dal Makhani,"Indian, Mughlai, North Indian, Kebabs, Beverages, Desserts",4.3,₹1500 FOR TWO
13,Pizza Hut,"Fast Food, Pizzas",4.3,₹350 FOR TWO
14,Cake creatorz,"Bakery, Beverages, Pizzas, Italian, Continental, Fast Food",4.3,₹300 FOR TWO
15,Flavours of Punjab,"North Indian, Chinese, Mughlai",4.4,₹300 FOR TWO
16,Sagar Ratna,"North Indian, Chinese, South Indian",4.6,₹600 FOR TWO
17,WONDER'S PIZZA,"Bakery, Beverages, Fast Food",4.2,₹300 FOR TWO
18,KHANSAAMA FOOD,Mughlai,4.1,₹200 FOR TWO
19,Pind Balluchi - Janpath,"North Indian, Mughlai",4.2,₹400 FOR TWO
20,Theobroma,"Desserts, Bakery, Beverages",4.0,₹800 FOR TWO
21,Handi Chhadeyan Di,"North Indian, Chinese, Mughlai",4.1,₹450 FOR TWO
22,Burger King,"American, Fast Food",4.1,₹350 FOR TWO
23,Starbucks Coffee,"Beverages, Ice Cream",4.1,₹400 FOR TWO
24,Kwality Walls,"Ice Cream, Desserts",4.3,₹300 FOR TWO
25,Cafe Coffee Day,"Beverages, Snacks, Desserts",4.4,₹300 FOR TWO
26,Slice,"Pizzas, Continental, Italian, Beverages",4.1,₹400 FOR TWO
27,United Coffee House,"Indian, Asian, European, Street Food",4.1,₹2500 FOR TWO
28,McDonald's,"American, Fast Food",4.4,₹400 FOR TWO
29,Veg Gulati (Pandara Road),"North Indian, Mughlai, Punjabi, Snacks, Desserts",4.1,₹1200 FOR TWO
30,Nando's,"Fast Food, Portuguese, African, Grill, Salads",4.6,₹600 FOR TWO
31,Brown Sugar,"Continental, Fast Food",4.0,₹600 FOR TWO
32,Desi Vibes,"Mughlai, North Indian",4.5,₹800 FOR TWO
33,DS Dosa Factory,"South Indian, Chinese, North Indian, Salads, Beverages, Desserts, Ice Cream",4.1,₹200 FOR TWO
34,Rajdhani,"Rajasthani, Thalis, Indian",4.4,₹1050 FOR TWO
35,Barbeque Nation,"North Indian, Mughlai, Seafood, Biryani, Desserts, Kebabs",4.3,₹600 FOR TWO
36,Sandoz ,"Indian, Chinese",4.1,₹350 FOR TWO
37,Haldiram's,North Indian,4.4,₹300 FOR TWO
38,I C Corner,Chinese,4.3,₹300 FOR TWO
39,Yamus Panchayat,Paan,4.1,₹200 FOR TWO
40,Khan Chacha,"Biryani, North Indian, Mughlai",4.3,₹850 FOR TWO
41,Q'BA,"North Indian, Chinese, Fast Food, Indian, Tandoor, Biryani",4.3,₹1000 FOR TWO
42,Havmor Ice cream,Ice Cream,4.1,₹300 FOR TWO
43,New National Restaurant,"Indian, Tandoor, Fast Food",4.3,₹600 FOR TWO
44,Chili's American Grill & Bar,"American, Salads, Mexican, Italian, Steakhouse",4.1,₹900 FOR TWO
45,Chai Point,"Bakery, Cafe, Combo, Beverages, Maharashtrian, Snacks, Street Food, South Indian...",4.1,₹200 FOR TWO
46,Farzi Cafe,"North Indian, Tandoor, Punjabi, Pizzas",4.3,₹600 FOR TWO
